event,ts,candle_ts,close,p_buy,signal,decision,message,resample_rule,target_simple_return
run,2026-02-20T19:31:09.386118+00:00,2026-02-20 12:00:00+00:00,67575.05,0.5325089693069458,1,bought_oco_failed,"OCO failed: APIError(code=-1102): Mandatory parameter 'aboveType' was not sent, was empty/null, or malformed.",4h,0.0035
run,2026-02-20T19:43:25.003534+00:00,2026-02-20 12:00:00+00:00,67575.05,0.5325089693069458,1,bought,,4h,0.0035
run,2026-02-20T20:00:07.957085+00:00,2026-02-20 16:00:00+00:00,67629.6,0.5717403292655945,1,bought,,4h,0.0035
run,2026-02-21T00:00:31.722791+00:00,2026-02-20 20:00:00+00:00,67991.19,0.7141198515892029,1,bought,,4h,0.0035
run,2026-02-21T04:00:14.355403+00:00,2026-02-21 00:00:00+00:00,67647.61,0.7935887575149536,1,bought,,4h,0.0035
run,2026-02-21T08:00:14.775276+00:00,2026-02-21 04:00:00+00:00,67835.16,0.887601375579834,1,bought,,4h,0.0035
error,2026-02-21T12:00:13.102609+00:00,APIError(code=-1013): Filter failure: NOTIONAL,BTCUSDC
error,2026-02-21T16:00:13.121464+00:00,APIError(code=-1013): Filter failure: NOTIONAL,BTCUSDC
error,2026-02-21T20:00:13.244707+00:00,APIError(code=-1013): Filter failure: NOTIONAL,BTCUSDC
run,2026-02-22T00:00:28.950065+00:00,2026-02-21 20:00:00+00:00,67961.0,0.3711809515953064,0,none,,4h,0.0035
run,2026-02-22T04:00:10.326356+00:00,2026-02-22 00:00:00+00:00,68021.0,0.3242660164833069,0,none,,4h,0.0035
run,2026-02-22T08:00:10.668778+00:00,2026-02-22 04:00:00+00:00,67996.35,0.3876800239086151,0,none,,4h,0.0035
run,2026-02-22T12:00:11.581602+00:00,2026-02-22 08:00:00+00:00,68199.25,0.3239215016365051,0,none,,4h,0.0035
run,2026-02-22T16:00:14.285525+00:00,2026-02-22 12:00:00+00:00,67667.99,0.44841477274894714,1,bought,,4h,0.0035
run,2026-02-22T20:00:08.075348+00:00,2026-02-22 16:00:00+00:00,67401.47,0.41773363947868347,0,none,,4h,0.0035
run,2026-02-23T00:00:17.201085+00:00,2026-02-22 20:00:00+00:00,67616.63,0.309245765209198,0,none,,4h,0.0035
run,2026-02-23T04:00:08.452506+00:00,2026-02-23 00:00:00+00:00,64927.01,0.3318731486797333,0,none,,4h,0.0035
run,2026-02-23T08:00:12.635221+00:00,2026-02-23 04:00:00+00:00,65941.01,0.2644940912723541,0,none,,4h,0.0035
run,2026-02-23T12:00:14.194728+00:00,2026-02-23 08:00:00+00:00,66209.01,0.567553699016571,1,bought,,4h,0.0035
run,2026-02-23T16:00:12.556200+00:00,2026-02-23 12:00:00+00:00,65649.01,0.538677990436554,1,bought,,4h,0.0035
run,2026-02-23T20:00:09.483251+00:00,2026-02-23 16:00:00+00:00,64289.55,0.4006085693836212,0,none,,4h,0.0035
run,2026-02-24T00:00:41.782098+00:00,2026-02-23 20:00:00+00:00,64636.01,0.45216450095176697,1,bought,,4h,0.0035
run,2026-02-24T04:00:16.163596+00:00,2026-02-24 00:00:00+00:00,63568.05,0.8250415325164795,1,bought_oco_failed,OCO failed: APIError(code=-2010): Account has insufficient balance for requested action.,4h,0.0035
run,2026-02-24T08:00:12.936110+00:00,2026-02-24 04:00:00+00:00,63182.01,0.7712181806564331,1,bought,,4h,0.0035
error,2026-02-24T12:00:14.984763+00:00,APIError(code=-1013): Filter failure: NOTIONAL,BTCUSDC
run,2026-02-24T16:00:16.441677+00:00,2026-02-24 12:00:00+00:00,63978.01,0.55848628282547,1,bought,,4h,0.0035
run,2026-02-24T20:00:09.528581+00:00,2026-02-24 16:00:00+00:00,64439.0,0.2227269560098648,0,none,,4h,0.0035
error,2026-02-25T00:00:37.542698+00:00,APIError(code=-1013): Filter failure: NOTIONAL,BTCUSDC
run,2026-02-25T04:00:11.869868+00:00,2026-02-25 00:00:00+00:00,65390.29,0.1128961592912674,0,none,,4h,0.0035
run,2026-02-25T08:00:09.408606+00:00,2026-02-25 04:00:00+00:00,65026.27,0.1405496746301651,0,none,,4h,0.0035
run,2026-02-25T12:00:14.302236+00:00,2026-02-25 08:00:00+00:00,65425.72,0.27349549531936646,0,none,,4h,0.0035
run,2026-02-25T16:00:13.349080+00:00,2026-02-25 12:00:00+00:00,67404.95,0.47009214758872986,1,bought,,4h,0.0035
run,2026-02-25T20:00:10.394116+00:00,2026-02-25 16:00:00+00:00,69048.6,0.3182854950428009,0,none,,4h,0.0035
run,2026-02-26T00:00:16.668679+00:00,2026-02-25 20:00:00+00:00,67994.1,0.37146058678627014,0,none,,4h,0.0035
run,2026-02-26T04:00:08.244794+00:00,2026-02-26 00:00:00+00:00,68221.0,0.2565646767616272,0,none,,4h,0.0035
run,2026-02-26T08:00:09.635439+00:00,2026-02-26 04:00:00+00:00,67832.5,0.37605467438697815,0,none,,4h,0.0035
run,2026-02-26T12:00:08.831945+00:00,2026-02-26 08:00:00+00:00,68048.21,0.3758155107498169,0,none,,4h,0.0035
run,2026-02-26T16:00:13.408626+00:00,2026-02-26 12:00:00+00:00,67387.52,0.5099011063575745,1,bought,,4h,0.0035
run,2026-02-26T20:00:12.658358+00:00,2026-02-26 16:00:00+00:00,67591.97,0.6521748900413513,1,bought,,4h,0.0035
